,org,aug1,aug2,aug3,aug4
0,4.1027,3.929,4.1956,4.0047,4.2311
1,4.4651,4.0099,4.4665,4.3434,4.5859
2,4.3222,3.8845,4.1912,4.1359,4.4288
3,4.3845,4.3331,4.247,4.3315,4.4879
4,4.3611,3.8202,4.2779,4.1927,4.4001
5,4.3818,4.0512,4.3264,4.5099,4.4345
6,4.1278,4.2212,4.1582,4.3066,4.2352
7,3.9972,4.0915,3.9464,4.3456,4.1894
8,4.1136,4.0761,4.1386,3.9936,4.0934
9,3.9586,3.6883,4.019,3.7861,4.0704
10,4.366,4.0512,4.356,4.3413,4.3403
11,4.1664,4.107,4.2552,4.0472,4.2094
12,4.1515,3.8648,4.0653,4.2023,4.2682
13,4.2283,3.3163,4.1391,4.4232,4.1232
14,4.275,4.1716,4.1703,4.1274,4.3062
15,4.3638,4.0758,4.2786,4.2392,4.3396
16,4.5829,4.5539,4.402,4.4901,4.5469
17,4.1334,3.7353,4.095,4.181,3.9993
18,4.1014,4.2561,4.1495,4.2336,4.2657
19,3.9311,3.7728,3.9758,3.8669,3.7892
20,4.4639,4.3626,4.4639,4.4824,4.438
21,3.9724,3.6025,3.9685,4.2031,4.0337
22,4.2136,3.808,4.5634,4.5895,4.329
23,4.0198,3.5846,4.0311,3.9463,4.0961
24,4.1301,4.1103,4.1661,4.5019,4.1035
25,4.1555,4.0046,4.2127,4.2388,4.1186
26,4.7894,4.5961,4.82,4.7502,4.7763
27,4.5972,4.3335,4.6442,4.6482,4.5467
28,4.3851,4.3852,4.3462,4.3701,4.2491
29,4.0335,3.9353,4.1838,4.184,4.2066
30,3.8972,3.7833,3.9407,3.992,3.8918
31,4.082,4.0623,3.8903,4.0506,4.1293
32,4.5942,4.3166,4.525,4.4849,4.6109
33,4.2225,3.7171,4.1674,4.4667,4.2323
34,3.7361,3.6359,3.733,4.1151,3.8076
35,4.5459,4.4734,4.461,4.6803,4.5991
36,4.4789,4.8036,4.6238,4.6406,4.4741
37,4.1442,3.829,4.1688,4.0474,4.2044
38,4.2645,4.0129,4.2089,4.2517,4.1368
39,4.598,3.8631,4.438,4.5099,4.6048
40,4.2875,4.2377,4.2735,4.2862,4.5041
41,4.2584,4.167,4.1471,4.2598,4.1282
42,3.9189,3.4791,4.075,4.1631,3.9371
43,4.3971,4.0635,4.2944,4.2236,4.3592
44,4.4562,4.1071,4.4566,4.4796,4.5225
45,4.3981,4.1377,4.3166,4.396,4.4939
46,4.2226,3.9913,4.2937,4.3389,4.3335
47,4.3182,4.6588,4.1989,4.2681,4.4049
48,4.132,3.8884,4.2524,4.1831,4.3333
49,3.9997,3.926,4.06,4.0802,4.075
50,4.3509,4.0411,4.2549,4.3404,4.3378
