,Metric,AUC,Accuracy,TPR@5.0%FPR
0,aug_kl,0.6132,0.6017,0.04
1,ppl,0.668,0.6367,0.0733
2,Min_0% Kl_Div,0.4924,0.52,0.0167
3,Min_5.0% Kl_Div,0.5068,0.53,0.0267
4,Min_10.0% Kl_Div,0.5297,0.5383,0.0233
5,Min_20.0% Kl_Div,0.5539,0.5683,0.02
6,Min_30.0% Kl_Div,0.568,0.5933,0.0333
7,Min_40.0% Kl_Div,0.5776,0.5817,0.0367
8,Min_50.0% Kl_Div,0.5872,0.5767,0.0333
9,Min_60.0% Kl_Div,0.5949,0.585,0.0233
10,Min_70.0% Kl_Div,0.6015,0.5917,0.0233
11,Min_80.0% Kl_Div,0.6074,0.5917,0.0233
12,Min_90.0% Kl_Div,0.611,0.5983,0.0267
13,Min_0% Prob,0.5858,0.5783,0.0867
14,Min_5.0% Prob,0.5888,0.5733,0.1133
15,Min_10.0% Prob,0.5937,0.575,0.1167
16,Min_20.0% Prob,0.6062,0.5867,0.0967
17,Min_30.0% Prob,0.6205,0.59,0.0967
18,Min_40.0% Prob,0.6371,0.6133,0.0933
19,Min_50.0% Prob,0.6503,0.6267,0.0867
20,Min_60.0% Prob,0.6595,0.635,0.0733
21,Min_70.0% Prob,0.6648,0.6383,0.0733
22,Min_80.0% Prob,0.6678,0.6417,0.07
23,Min_90.0% Prob,0.6685,0.6433,0.0733
24,Modified_entropy,0.6661,0.6367,0.0733
25,Modified_renyi_05,0.6674,0.64,0.0767
26,Modified_renyi_2,0.66,0.64,0.0767
27,Max_Prob_Gap,0.5773,0.575,0.0533
28,Max_0% renyi_05,0.5079,0.5317,0.04
29,Max_0% renyi_1,0.4984,0.5233,0.0533
30,Max_0% renyi_2,0.5889,0.58,0.0667
31,Max_0% renyi_inf,0.5858,0.5783,0.0867
32,Max_5.0% renyi_05,0.5521,0.5667,0.0867
33,Max_5.0% renyi_1,0.6185,0.6067,0.0733
34,Max_5.0% renyi_2,0.6248,0.62,0.1067
35,Max_5.0% renyi_inf,0.5888,0.5733,0.1133
36,Max_10.0% renyi_05,0.5561,0.5767,0.09
37,Max_10.0% renyi_1,0.621,0.615,0.0933
38,Max_10.0% renyi_2,0.6198,0.605,0.08
39,Max_10.0% renyi_inf,0.5937,0.575,0.1167
40,Max_20.0% renyi_05,0.555,0.57,0.0867
41,Max_20.0% renyi_1,0.6158,0.6,0.0833
42,Max_20.0% renyi_2,0.6144,0.5983,0.0833
43,Max_20.0% renyi_inf,0.6062,0.5867,0.0967
44,Max_30.0% renyi_05,0.5579,0.5633,0.0567
45,Max_30.0% renyi_1,0.611,0.6017,0.08
46,Max_30.0% renyi_2,0.6219,0.5983,0.0633
47,Max_30.0% renyi_inf,0.6205,0.59,0.0967
48,Max_40.0% renyi_05,0.5938,0.59,0.0467
49,Max_40.0% renyi_1,0.6354,0.62,0.0733
50,Max_40.0% renyi_2,0.6424,0.6183,0.0567
51,Max_40.0% renyi_inf,0.6371,0.6133,0.0933
52,Max_50.0% renyi_05,0.6229,0.61,0.0633
53,Max_50.0% renyi_1,0.656,0.6417,0.0833
54,Max_50.0% renyi_2,0.6592,0.6367,0.0667
55,Max_50.0% renyi_inf,0.6503,0.6267,0.0867
56,Max_60.0% renyi_05,0.6482,0.6367,0.0667
57,Max_60.0% renyi_1,0.6735,0.6583,0.0667
58,Max_60.0% renyi_2,0.6698,0.6467,0.07
59,Max_60.0% renyi_inf,0.6595,0.635,0.0733
60,Max_70.0% renyi_05,0.6669,0.6483,0.0667
61,Max_70.0% renyi_1,0.6863,0.665,0.0767
62,Max_70.0% renyi_2,0.6775,0.6517,0.08
63,Max_70.0% renyi_inf,0.6648,0.6383,0.0733
64,Max_80.0% renyi_05,0.6815,0.6583,0.09
65,Max_80.0% renyi_1,0.6944,0.675,0.0767
66,Max_80.0% renyi_2,0.6809,0.66,0.0767
67,Max_80.0% renyi_inf,0.6678,0.6417,0.07
68,Max_90.0% renyi_05,0.6923,0.6683,0.0867
69,Max_90.0% renyi_1,0.7003,0.6783,0.0833
70,Max_90.0% renyi_2,0.682,0.6567,0.0767
71,Max_90.0% renyi_inf,0.6685,0.6433,0.0733
72,Max_100% renyi_05,0.7011,0.6783,0.1
73,Max_100% renyi_1,0.7013,0.6733,0.0933
74,Max_100% renyi_2,0.6804,0.6533,0.0933
75,Max_100% renyi_inf,0.668,0.6367,0.0733
76,Min_0% renyi_05,0.5416,0.5517,0.0533
77,Min_0% renyi_1,0.5424,0.55,0.0467
78,Min_0% renyi_2,0.5397,0.5517,0.0433
79,Min_0% renyi_inf,0.5395,0.5517,0.0433
80,Min_5.0% renyi_05,0.6156,0.6033,0.0733
81,Min_5.0% renyi_1,0.5765,0.5867,0.04
82,Min_5.0% renyi_2,0.5709,0.5883,0.0333
83,Min_5.0% renyi_inf,0.5706,0.5817,0.0333
84,Min_10.0% renyi_05,0.6504,0.6283,0.0767
85,Min_10.0% renyi_1,0.6025,0.61,0.0467
86,Min_10.0% renyi_2,0.5826,0.5983,0.0333
87,Min_10.0% renyi_inf,0.5797,0.5867,0.0333
88,Min_20.0% renyi_05,0.6853,0.6433,0.1
89,Min_20.0% renyi_1,0.6379,0.6283,0.06
90,Min_20.0% renyi_2,0.6041,0.595,0.0467
91,Min_20.0% renyi_inf,0.6016,0.595,0.0533
92,Min_30.0% renyi_05,0.7049,0.6583,0.1333
93,Min_30.0% renyi_1,0.6654,0.6483,0.08
94,Min_30.0% renyi_2,0.6234,0.605,0.0567
95,Min_30.0% renyi_inf,0.6181,0.6,0.0567
96,Min_40.0% renyi_05,0.7163,0.67,0.1533
97,Min_40.0% renyi_1,0.6875,0.6583,0.0767
98,Min_40.0% renyi_2,0.6431,0.6267,0.06
99,Min_40.0% renyi_inf,0.6355,0.625,0.0533
100,Min_50.0% renyi_05,0.7226,0.675,0.1567
101,Min_50.0% renyi_1,0.7031,0.6617,0.09
102,Min_50.0% renyi_2,0.6612,0.635,0.0567
103,Min_50.0% renyi_inf,0.6495,0.6283,0.08
104,Min_60.0% renyi_05,0.7212,0.68,0.14
105,Min_60.0% renyi_1,0.7145,0.675,0.0967
106,Min_60.0% renyi_2,0.679,0.645,0.06
107,Min_60.0% renyi_inf,0.6636,0.6383,0.0633
108,Min_70.0% renyi_05,0.7113,0.6783,0.1
109,Min_70.0% renyi_1,0.7113,0.6733,0.1067
110,Min_70.0% renyi_2,0.6901,0.66,0.0733
111,Min_70.0% renyi_inf,0.6735,0.6533,0.0733
112,Min_80.0% renyi_05,0.704,0.6767,0.1
113,Min_80.0% renyi_1,0.7012,0.6767,0.09
