,Metric,AUC,Accuracy,TPR@1.0%FPR
0,aug_kl,0.5912,0.5817,0.0033
1,ppl,0.668,0.6367,0.01
2,Min_0% Kl_Div,0.4935,0.5233,0.0
3,Min_5.0% Kl_Div,0.5141,0.5333,0.0033
4,Min_10.0% Kl_Div,0.5377,0.5467,0.0033
5,Min_20.0% Kl_Div,0.5596,0.5683,0.0033
6,Min_30.0% Kl_Div,0.5665,0.5717,0.0033
7,Min_40.0% Kl_Div,0.5696,0.5817,0.0033
8,Min_50.0% Kl_Div,0.5725,0.5833,0.0033
9,Min_60.0% Kl_Div,0.5759,0.5833,0.0
10,Min_70.0% Kl_Div,0.58,0.585,0.0
11,Min_80.0% Kl_Div,0.5854,0.5833,0.0
12,Min_90.0% Kl_Div,0.5895,0.585,0.0
13,Min_0% Prob,0.5858,0.5783,0.0333
14,Min_5.0% Prob,0.5888,0.5733,0.06
15,Min_10.0% Prob,0.5937,0.575,0.04
16,Min_20.0% Prob,0.6062,0.5867,0.0367
17,Min_30.0% Prob,0.6205,0.59,0.04
18,Min_40.0% Prob,0.6371,0.6133,0.0367
19,Min_50.0% Prob,0.6503,0.6267,0.03
20,Min_60.0% Prob,0.6595,0.635,0.0133
21,Min_70.0% Prob,0.6648,0.6383,0.01
22,Min_80.0% Prob,0.6678,0.6417,0.0133
23,Min_90.0% Prob,0.6685,0.6433,0.0133
24,Modified_entropy,0.6661,0.6367,0.0133
25,Modified_renyi_05,0.6674,0.64,0.01
26,Modified_renyi_2,0.66,0.64,0.0133
27,Max_Prob_Gap,0.5773,0.575,0.0033
28,Max_0% renyi_05,0.5079,0.5317,0.01
29,Max_0% renyi_1,0.4984,0.5233,0.0133
30,Max_0% renyi_2,0.5889,0.58,0.0333
31,Max_0% renyi_inf,0.5858,0.5783,0.0333
32,Max_5.0% renyi_05,0.5521,0.5667,0.0333
33,Max_5.0% renyi_1,0.6185,0.6067,0.0333
34,Max_5.0% renyi_2,0.6248,0.62,0.0533
35,Max_5.0% renyi_inf,0.5888,0.5733,0.06
36,Max_10.0% renyi_05,0.5561,0.5767,0.0333
37,Max_10.0% renyi_1,0.621,0.615,0.02
38,Max_10.0% renyi_2,0.6198,0.605,0.0233
39,Max_10.0% renyi_inf,0.5937,0.575,0.04
40,Max_20.0% renyi_05,0.555,0.57,0.0167
41,Max_20.0% renyi_1,0.6158,0.6,0.0067
42,Max_20.0% renyi_2,0.6144,0.5983,0.0133
43,Max_20.0% renyi_inf,0.6062,0.5867,0.0367
44,Max_30.0% renyi_05,0.5579,0.5633,0.0167
45,Max_30.0% renyi_1,0.611,0.6017,0.02
46,Max_30.0% renyi_2,0.6219,0.5983,0.0133
47,Max_30.0% renyi_inf,0.6205,0.59,0.04
48,Max_40.0% renyi_05,0.5938,0.59,0.02
49,Max_40.0% renyi_1,0.6354,0.62,0.02
50,Max_40.0% renyi_2,0.6424,0.6183,0.0133
51,Max_40.0% renyi_inf,0.6371,0.6133,0.0367
52,Max_50.0% renyi_05,0.6229,0.61,0.0167
53,Max_50.0% renyi_1,0.656,0.6417,0.0067
54,Max_50.0% renyi_2,0.6592,0.6367,0.0133
55,Max_50.0% renyi_inf,0.6503,0.6267,0.03
