,org,aug1,aug2,aug3,aug4
0,4.1491,3.7954,4.1479,4.138,4.2561
1,3.9647,3.5806,3.845,4.0715,4.0286
2,4.2876,4.2379,4.2985,4.2887,4.2424
3,4.2084,4.0437,4.2233,4.167,4.2411
4,4.3429,4.0375,4.3901,4.3044,4.1943
5,3.955,3.5217,3.9281,3.9347,3.945
6,4.3599,4.0162,4.3242,4.3799,4.4233
7,3.9663,4.1572,4.1658,4.1219,4.1622
8,4.3829,4.0674,4.3281,4.32,4.4861
9,4.1334,3.7589,4.1293,4.0988,4.0452
10,4.0897,3.8003,4.2369,4.2278,4.104
11,3.8063,3.7236,3.8753,3.9355,3.8906
12,3.9052,3.7372,4.0601,4.0255,3.9874
13,4.0988,4.3109,4.2248,4.2755,4.2526
14,4.1182,3.7499,4.0436,4.2698,4.1769
15,4.0505,3.9572,4.0104,3.6885,4.0495
16,4.3436,4.1652,4.1641,4.3099,4.1693
17,4.3714,4.1025,4.2685,4.2407,4.5331
18,4.2459,3.9912,4.1784,4.2057,4.2721
19,3.9575,3.9822,4.0151,3.9917,4.1856
20,4.312,3.9697,4.2185,4.3479,4.2871
21,4.1613,4.1835,4.1949,4.1998,4.0709
22,4.138,3.8186,4.389,4.2407,4.1649
23,4.2299,3.8485,4.1218,4.2256,4.3268
24,4.226,3.8396,4.079,4.2308,4.1955
25,4.1512,4.0441,4.3177,4.2641,4.0676
26,4.2585,4.0322,4.1565,4.2378,4.3722
27,4.0008,3.9304,4.0018,4.0305,3.9935
28,3.595,3.5791,3.7865,3.9982,3.8409
29,4.1515,3.8561,4.0976,4.2658,4.3572
30,4.401,4.3003,4.4391,4.3464,4.4581
31,4.2858,3.8704,4.385,4.4052,4.2792
32,3.8075,4.0951,3.7824,4.1837,3.9041
33,3.9568,3.9374,4.232,4.0341,3.9558
34,3.9547,4.0854,4.172,3.9437,4.015
35,4.1483,4.3311,3.9907,4.0581,4.1986
36,4.1834,4.279,4.2319,4.3145,4.2397
37,3.9303,3.6532,3.9514,3.8537,3.936
38,4.3509,4.1934,4.2052,4.4011,4.3509
39,4.0928,3.8361,4.1233,4.1761,4.1338
40,4.2271,3.9715,4.3594,4.1321,4.1489
41,4.0901,3.708,4.1446,4.1509,4.1311
42,4.0316,3.5191,3.9819,3.9524,4.1039
43,3.9189,3.6257,4.1099,4.0729,3.9252
44,4.1095,3.8682,4.1874,4.3435,4.2298
45,3.6931,3.8053,3.8521,3.9257,3.773
46,4.3447,4.0474,4.363,4.4648,4.3386
47,4.5499,4.1973,4.6595,4.6268,4.7249
48,3.9586,3.4201,4.1019,4.095,4.012
49,3.985,3.8782,4.0767,4.2339,3.9379
50,3.9723,3.9904,3.9691,4.108,4.1567
51,4.841,5.0064,4.7375,4.6399,4.7298
52,4.3251,4.2203,4.2563,4.3476,4.2984
53,4.3875,4.139,4.3494,4.4632,4.6421
54,4.4798,4.4491,4.3934,4.4681,4.4628
55,4.0107,3.867,4.0957,3.8858,4.0097
56,3.8443,4.0921,3.8901,4.3336,3.9352
57,3.9113,3.6975,4.0927,4.1381,3.9551
58,4.1158,4.038,4.1577,4.1933,4.1397
59,4.0681,3.7784,4.0727,4.2511,4.1257
60,4.2166,4.29,4.1362,4.2715,4.2665
61,4.4389,4.4251,4.4801,4.4158,4.5644
62,4.0457,4.1307,4.2103,4.1419,4.0519
63,3.5007,3.641,3.7393,3.5941,3.5616
64,4.4137,4.9155,4.4242,4.2573,4.3201
65,3.7236,3.5783,3.9055,3.8592,3.6334
66,4.0625,3.6486,4.0775,4.2061,3.9965
67,4.1664,3.9626,4.1459,4.2503,4.096
68,4.0835,3.7804,4.0722,4.0804,4.0179
69,4.0895,4.0118,4.2263,4.0881,4.2047
70,4.1989,3.9062,4.3453,4.1585,4.4511
71,4.0331,3.4638,4.0434,4.2651,4.0843
72,4.2361,4.283,4.1773,4.1429,4.2953
73,4.1503,3.8107,4.1625,4.3014,4.1672
74,4.0621,4.1824,3.9904,3.9711,4.0714
75,3.9772,3.847,3.9006,3.8706,3.9768
76,4.013,4.3204,4.1921,4.1177,4.156
77,4.2992,3.9721,4.2844,4.2876,4.1727
78,4.5634,4.6409,4.696,4.6203,4.6467
79,4.3359,3.8818,4.4322,4.4658,4.4076
80,3.9451,4.1408,3.932,3.7713,3.8926
81,4.2103,4.2072,4.2233,4.1261,4.2681
82,4.5457,5.0444,4.6701,4.5185,4.6851
83,3.843,3.7958,3.802,3.9997,3.865
84,3.8965,3.4621,3.9606,4.3444,4.1645
85,4.4305,4.2183,4.5026,4.4806,4.621
86,4.1915,4.5263,4.299,4.3037,4.1777
87,4.1092,4.1176,4.0769,4.2403,4.2522
88,4.4588,4.2113,4.3212,4.336,4.4513
89,4.1082,4.0914,4.2673,4.2393,4.2629
90,4.0377,4.3933,4.2377,4.3,3.7613
91,4.1846,4.2504,4.3093,4.4035,4.447
92,4.3163,3.7335,4.2276,4.1336,4.3553
93,4.1471,4.0033,4.138,4.2968,4.3609
94,4.2451,3.6483,4.2659,4.3119,4.2629
95,4.1161,3.6195,4.0554,4.0197,4.2082
96,4.2584,4.7798,4.1728,4.1587,4.0182
97,4.34,4.1894,4.3604,4.3357,4.3781
98,4.0614,3.8849,4.1334,3.9997,4.0992
99,4.4516,4.068,4.3543,4.5936,4.3779
100,3.9491,4.1369,3.9784,4.1197,4.2746
101,4.6351,4.4751,4.6016,4.6469,4.7786
102,3.9717,3.778,4.1049,3.9899,4.0599
103,4.134,3.9637,4.2114,4.1726,4.0822
104,4.1595,3.814,4.2321,4.2633,4.2008
105,3.7728,4.221,4.0009,3.8984,3.8914
106,3.8566,3.82,3.9884,3.8899,3.8865
107,4.5169,4.3201,4.4107,4.1691,4.5496
108,4.2772,4.2844,4.2967,4.482,4.1299
109,4.502,4.6917,4.4253,4.49,4.6191
110,4.5985,4.4909,4.4296,4.6487,4.4963
111,4.1027,3.9127,4.1895,4.3476,4.1463
112,4.0589,3.8848,4.2207,4.1339,4.3975
113,3.6216,3.7621,3.4039,3.4883,3.4638
114,4.2251,3.8685,4.2222,4.1988,4.3778
115,4.226,4.563,4.1318,4.1516,4.4107
116,4.0254,3.5724,3.8666,3.9833,4.0731
117,4.1762,4.4934,4.1734,4.2579,4.2476
118,3.9724,3.7979,3.968,4.3276,4.0916
119,3.9404,3.9442,4.1192,4.0233,4.0534
120,4.1923,3.8747,4.0985,4.3237,4.31
