,org,aug1,aug2,aug3,aug4
0,4.3956,3.7841,4.3289,4.2477,4.298
1,4.466,4.5149,4.4805,4.4946,4.6199
2,4.2293,4.2908,4.2,4.227,4.3407
3,4.0722,4.0694,3.9391,4.2769,4.0654
4,4.1245,3.9006,4.0754,4.088,4.1576
5,4.3255,4.166,4.3255,4.1734,4.3535
6,4.3299,3.9386,4.2849,4.4399,4.443
7,4.2036,4.0294,4.237,4.1151,4.2665
8,4.2225,3.9119,4.2447,4.1307,4.1219
9,4.4662,4.3448,4.3947,4.3557,4.4461
10,4.2566,3.651,4.2859,4.3981,4.3885
11,4.1618,4.0631,4.2578,4.1446,4.2103
12,4.6837,4.4967,4.4413,4.3789,4.7263
13,4.3771,4.001,4.3137,4.2099,4.393
14,4.3334,3.8815,4.1152,4.2084,4.4145
15,3.9436,3.7487,3.852,4.0894,3.9375
16,4.3541,4.2461,4.534,4.4519,4.351
17,4.4735,4.0457,4.4112,4.3594,4.349
18,4.096,3.7016,4.1816,3.8333,4.0568
19,3.9704,3.6408,3.88,3.783,3.8807
20,4.8499,4.4193,4.648,4.7896,4.7321
21,3.9458,3.8431,4.1909,4.2836,4.2307
22,4.2283,3.9759,4.2271,4.1412,4.2296
23,4.5254,4.2832,4.5471,4.7,4.4852
24,4.658,4.6904,4.7065,4.7057,4.6106
25,4.4041,4.0371,4.4083,4.4023,4.4839
26,4.5828,4.4471,4.5523,4.6441,4.5849
27,4.4587,4.1462,4.2617,4.3949,4.5499
28,4.0403,3.6552,4.0992,3.9735,4.087
29,4.505,4.2609,4.5726,4.5239,4.6624
30,4.3856,4.2725,4.412,4.4245,4.4444
31,4.0081,4.1176,3.9734,4.4023,4.1088
32,4.5425,4.3273,4.3245,4.4928,4.51
33,4.3162,3.9167,4.145,3.9338,4.3019
34,4.1278,4.3413,4.085,4.0681,4.0028
35,4.2655,4.3368,4.3216,4.3038,4.2692
36,3.8808,3.7161,3.9358,4.2452,3.9776
37,4.387,3.9903,4.2345,4.2886,4.1532
38,4.2844,4.1753,4.3492,4.3171,4.4013
39,4.449,4.5454,4.3826,4.6201,4.5836
40,4.1222,3.9939,4.2435,4.1606,4.1756
41,4.3026,3.9937,4.3409,4.3265,4.2131
42,3.9522,3.5903,3.9035,3.9042,3.8796
43,4.5405,4.1341,4.3898,4.3992,4.4222
44,4.466,4.234,4.3314,4.4416,4.3929
45,4.8169,4.2495,4.6881,4.5151,4.8757
46,4.2226,4.1632,4.2529,4.3151,4.2339
47,4.3464,4.413,4.1821,4.2451,4.5946
48,4.4345,4.0661,4.3377,4.4832,4.3694
49,4.5537,4.3942,4.6366,4.5854,4.6044
50,3.8972,3.9528,3.9568,4.0588,3.9367
51,4.189,4.1117,4.1911,4.2074,4.1272
52,4.5554,4.2525,4.5329,4.5708,4.6493
53,3.839,3.4202,3.8606,3.8121,3.898
54,4.3309,4.146,4.1965,4.4636,4.3595
55,4.4562,4.0427,4.6414,4.5091,4.5532
56,4.5362,4.3461,4.4622,4.3697,4.7991
57,4.3321,4.3237,4.407,4.3565,4.4632
58,4.2193,3.7539,4.0549,4.0839,4.2723
59,4.217,3.5732,4.1462,3.9896,4.2027
60,4.275,4.0843,4.1821,4.2804,4.2072
61,4.4043,4.5423,4.5755,4.5327,4.5183
62,4.3988,3.5826,4.4026,4.4519,4.2823
63,4.306,3.8424,4.1608,4.2476,4.4256
64,4.0618,4.0982,4.191,4.1916,4.089
65,4.0535,3.8242,4.0608,4.2921,4.0369
66,4.5409,4.344,4.4455,4.4457,4.4602
67,4.2486,3.9161,4.2427,4.4022,4.0965
68,4.2528,3.8242,4.2774,4.2053,4.2594
69,4.4711,4.0123,4.3699,4.3791,4.399
70,3.9997,3.6438,4.0874,4.0595,4.0187
71,4.4913,4.3649,4.4611,4.4026,4.3529
72,4.2905,4.3454,4.5468,4.4185,4.345
73,4.1977,3.8824,4.0829,4.3256,4.2491
74,4.0278,3.656,4.0289,3.9206,4.029
75,4.6265,4.8805,4.5225,4.5041,4.6245
76,4.3884,4.0579,4.3315,4.346,4.1863
77,4.0175,3.7676,3.9525,4.1807,4.1975
78,4.1323,3.7309,4.0744,4.0594,4.1038
79,4.3971,4.0214,4.4073,4.3089,4.4073
80,3.8386,3.7696,3.835,3.6251,4.0617
81,4.205,3.7121,4.3908,4.3477,4.2187
82,4.0638,3.7356,4.0349,3.8973,4.1111
83,4.698,4.1782,4.5386,4.7646,4.7135
84,4.6537,4.6336,4.6712,4.8739,4.6802
85,4.1637,3.9559,4.1193,4.2982,4.0749
86,4.5578,4.4134,4.6746,4.8808,4.6243
87,4.6073,4.3816,4.3908,4.6367,4.5352
88,4.3281,3.6926,4.1965,4.2653,4.3462
89,3.7663,3.3794,3.9664,4.2051,3.7545
90,4.3988,4.2985,4.3122,4.2983,4.4598
91,4.4115,4.1207,4.3114,4.2978,4.4746
92,4.1938,4.192,4.0098,4.1994,4.152
93,4.1548,3.8244,4.1245,4.505,4.2409
94,4.4194,4.1019,4.2658,4.0395,4.2395
95,3.9396,3.6599,3.8765,3.8129,3.8831
96,4.0129,3.9595,3.9897,4.3475,4.181
97,4.447,4.4725,4.4807,4.6075,4.5034
98,4.2875,4.2946,4.5087,4.5126,4.4847
99,4.5743,4.5794,4.5743,4.4673,4.6824
100,4.6644,4.7459,4.6101,4.6314,4.6492
101,4.2337,3.7792,4.2856,4.652,4.2699
102,3.7992,3.6761,4.0835,3.8632,3.7546
103,4.2576,4.0805,4.1252,4.1194,4.2282
104,4.2219,4.0208,4.326,4.3948,4.0863
105,4.2136,4.0096,4.2429,4.6881,4.2821
106,4.4485,3.9178,4.3556,4.2715,4.3738
107,4.4571,4.3414,4.3766,4.508,4.4333
108,4.0235,3.8821,4.0341,4.1744,4.044
109,4.4179,4.3873,4.4186,4.6433,4.558
110,4.1509,4.1636,4.2021,4.1644,4.1978
111,4.113,3.7859,4.1042,4.1862,4.1336
112,4.1435,4.332,4.2582,4.1704,4.1814
113,4.5942,4.4306,4.5778,4.592,4.7107
114,4.6464,4.2253,4.5966,4.4573,4.584
115,4.0762,3.7197,4.4498,4.5328,4.2928
116,4.4265,4.1866,4.3447,4.3244,4.3685
117,4.1619,3.8968,4.2993,4.2497,4.014
118,4.5925,4.5382,4.6358,4.5982,4.5552
119,4.3611,4.3083,4.2227,4.3987,4.3365
120,4.4653,4.2288,4.667,4.4228,4.4354
121,4.5717,4.1371,4.4077,4.5652,4.647
122,4.2771,4.1401,4.258,4.3143,4.3339
123,4.289,3.744,4.3815,4.1263,4.1797
124,4.7006,4.6599,4.6051,4.7946,4.6906
125,4.689,4.7934,4.5754,4.7486,4.6897
126,4.5684,4.9028,4.4341,4.5386,4.5604
127,4.7523,4.5463,4.6563,4.5982,4.8165
128,4.4487,4.1302,4.3134,4.286,4.3891
129,4.4651,4.112,4.3003,4.1688,4.407
130,4.5608,4.3543,4.4911,4.4536,4.5902
131,4.2633,4.2699,4.2765,4.5762,4.3258
132,3.8871,3.7262,3.9633,4.0457,3.9002
133,4.5144,4.4381,4.548,4.6341,4.537
134,3.7313,3.4036,4.0076,3.7045,3.8608
135,4.3449,4.1185,4.1796,4.3592,4.1709
136,4.4571,3.7523,4.5307,4.4738,4.6904
137,4.0809,4.0815,4.0708,4.1969,4.288
138,4.4067,4.3389,4.3477,4.3042,4.4807
139,4.4145,3.8308,4.3638,4.1776,4.4917
140,4.3362,3.8291,4.1594,4.4803,4.3224
141,4.5165,4.2115,4.4875,4.5255,4.7039
142,4.3444,3.845,4.0684,4.248,4.3841
143,4.4475,4.0431,4.3702,4.3913,4.4277
144,4.1136,4.1485,3.9587,4.1263,4.1775
145,3.9204,4.222,4.0261,4.2018,3.8685
146,3.9738,3.845,3.9169,4.1319,4.116
147,4.366,4.0443,4.4244,4.2775,4.3557
148,4.1693,3.6658,4.1382,4.046,4.2325
149,4.5139,4.1344,4.3133,4.2236,4.3331
150,4.6679,4.403,4.6514,4.7077,4.6126
151,4.4105,3.5601,4.474,4.4906,4.3598
152,3.7361,3.5472,3.7195,3.6887,3.7896
153,4.048,4.2447,4.2616,4.2564,4.0108
154,4.189,3.8943,4.1889,4.3288,4.1908
155,4.1037,3.8176,4.0538,4.4218,3.9664
156,4.3902,4.6468,4.2289,4.1903,4.2559
157,4.3182,4.0897,4.1407,4.3269,4.5152
158,4.2411,3.8411,4.1867,4.1673,4.3199
159,4.278,4.1118,4.4259,4.5607,4.2598
160,4.4881,4.3497,4.4308,4.3795,4.5883
161,4.2863,4.2592,4.2512,4.3549,4.4321
162,4.5807,4.6178,4.5567,4.7056,4.6019
163,4.3944,4.2053,4.5044,4.4644,4.5164
164,4.1389,4.1474,4.3805,4.4542,4.4357
165,4.4386,3.9091,4.4539,4.3174,4.3471
166,4.6542,4.604,4.6678,4.5074,4.7891
167,4.4057,4.279,4.4384,4.3412,4.3864
168,4.7005,4.5671,4.7242,4.4702,4.7668
169,4.1555,4.1853,4.2745,4.1772,4.3229
170,3.8722,3.6982,3.8992,4.0127,3.8303
171,3.8843,3.567,3.8306,3.6067,3.9751
172,4.4451,4.0143,4.6022,4.5452,4.6074
173,4.4651,4.1562,4.5001,4.6629,4.464
174,3.9985,3.889,4.1931,4.1322,4.2055
175,4.2505,4.3421,4.2516,4.357,4.1499
176,4.2487,3.928,4.2509,4.1598,4.1789
177,4.3449,3.9024,4.2913,4.2031,4.4099
178,4.376,4.2605,4.2207,4.3161,4.6101
179,4.4454,4.1008,4.4005,4.6213,4.3379
180,4.7886,4.5539,4.7738,4.9033,4.8079
181,4.2914,4.0587,4.3497,4.6604,4.3389
182,4.4302,3.8451,4.1152,4.5526,4.3552
183,4.5859,4.1746,4.5174,4.4341,4.6971
184,4.3893,4.1448,4.4348,4.4068,4.4691
185,4.3578,3.6438,4.5055,4.5972,4.5766
186,3.6612,3.2882,3.8261,3.7248,3.7264
187,4.3753,3.8683,4.1919,4.2566,4.1075
188,4.1816,3.8523,4.1866,4.1657,4.228
189,3.9645,3.596,4.1141,4.2262,3.914
190,4.598,4.2753,4.4022,4.5141,4.6695
191,4.1538,3.994,4.2009,3.8974,4.1622
192,4.1954,3.8965,4.0688,3.9743,4.188
193,4.2167,4.0792,4.2445,4.2433,4.2054
194,4.3934,4.2196,4.4221,4.3506,4.4909
195,4.2847,3.9999,4.2505,4.373,4.2085
196,4.5459,4.6329,4.548,4.5571,4.6852
197,4.2153,3.6977,4.2837,4.517,4.2083
198,3.9764,3.8529,3.9875,4.0662,3.9737
199,4.6943,4.4151,4.6142,4.5759,4.5897
200,4.7429,4.7236,4.5423,4.7485,4.6998
201,4.3874,4.4784,4.3011,4.4219,4.4203
202,4.4622,4.4925,4.4038,4.3668,4.3667
203,4.7298,4.0668,4.289,4.5729,4.6559
204,3.9082,4.0385,4.0988,4.0894,4.2571
205,4.5309,4.5219,4.4433,4.3722,4.4473
206,4.4439,4.5405,4.2665,4.3687,4.4234
207,4.2117,4.0442,4.2555,4.4135,4.1788
208,4.159,3.7865,4.3777,4.6213,4.0622
209,4.0084,3.9002,3.8949,4.0257,4.1421
210,4.4937,4.2183,4.3696,4.5101,4.492
211,4.4426,4.1628,4.1404,4.2424,4.4169
212,4.4402,4.3548,4.5657,4.5735,4.4548
213,4.4129,3.9718,4.5671,4.5581,4.4825
214,4.487,3.907,4.4479,4.4681,4.5449
215,4.4447,4.2295,4.3825,4.3638,4.4007
216,4.4789,4.4346,4.542,4.6052,4.5815
217,4.5557,3.9597,4.5782,4.382,4.4805
218,4.3506,4.1617,4.2048,4.1555,3.9454
219,4.4011,4.3894,4.4248,4.4848,4.4302
220,5.053,4.8689,5.0579,5.0431,5.113
221,4.6135,4.3983,4.5585,4.6664,4.559
222,3.8295,3.4761,3.8003,3.8388,3.8704
