Min_0% Cross_Entro_Augs   AUC 0.5905, Accuracy 0.5933, TPR@5.0% FPR of 0.0533
Min_5.0% Cross_Entro_Augs   AUC 0.4078, Accuracy 0.5150, TPR@5.0% FPR of 0.0167
Min_10.0% Cross_Entro_Augs   AUC 0.4051, Accuracy 0.5183, TPR@5.0% FPR of 0.0100
Min_20.0% Cross_Entro_Augs   AUC 0.4008, Accuracy 0.5133, TPR@5.0% FPR of 0.0067
Min_30.0% Cross_Entro_Augs   AUC 0.4080, Accuracy 0.5183, TPR@5.0% FPR of 0.0067
Min_40.0% Cross_Entro_Augs   AUC 0.4186, Accuracy 0.5217, TPR@5.0% FPR of 0.0100
Min_50.0% Cross_Entro_Augs   AUC 0.4306, Accuracy 0.5200, TPR@5.0% FPR of 0.0133
Min_60.0% Cross_Entro_Augs   AUC 0.4435, Accuracy 0.5200, TPR@5.0% FPR of 0.0200
Min_70.0% Cross_Entro_Augs   AUC 0.4578, Accuracy 0.5183, TPR@5.0% FPR of 0.0267
Min_80.0% Cross_Entro_Augs   AUC 0.4698, Accuracy 0.5200, TPR@5.0% FPR of 0.0300
Min_90.0% Cross_Entro_Augs   AUC 0.4810, Accuracy 0.5200, TPR@5.0% FPR of 0.0367
Min_100% Cross_Entro_Augs   AUC 0.5079, Accuracy 0.5283, TPR@5.0% FPR of 0.0500
aug_kl   AUC 0.5948, Accuracy 0.5833, TPR@5.0% FPR of 0.0133
ppl   AUC 0.6712, Accuracy 0.6383, TPR@5.0% FPR of 0.0767
Min_0% Kl_Div   AUC 0.4091, Accuracy 0.5033, TPR@5.0% FPR of 0.0400
Min_5.0% Kl_Div   AUC 0.4770, Accuracy 0.5050, TPR@5.0% FPR of 0.0400
Min_10.0% Kl_Div   AUC 0.5160, Accuracy 0.5483, TPR@5.0% FPR of 0.0233
Min_20.0% Kl_Div   AUC 0.5527, Accuracy 0.5717, TPR@5.0% FPR of 0.0267
Min_30.0% Kl_Div   AUC 0.5614, Accuracy 0.5733, TPR@5.0% FPR of 0.0267
Min_40.0% Kl_Div   AUC 0.5639, Accuracy 0.5683, TPR@5.0% FPR of 0.0267
Min_50.0% Kl_Div   AUC 0.5707, Accuracy 0.5750, TPR@5.0% FPR of 0.0300
Min_60.0% Kl_Div   AUC 0.5770, Accuracy 0.5800, TPR@5.0% FPR of 0.0267
Min_70.0% Kl_Div   AUC 0.5842, Accuracy 0.5833, TPR@5.0% FPR of 0.0200
Min_80.0% Kl_Div   AUC 0.5899, Accuracy 0.5833, TPR@5.0% FPR of 0.0233
Min_90.0% Kl_Div   AUC 0.5942, Accuracy 0.5833, TPR@5.0% FPR of 0.0133
Min_0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@5.0% FPR of 0.0233
Min_5.0% Prob   AUC 0.4836, Accuracy 0.5367, TPR@5.0% FPR of 0.1133
Min_10.0% Prob   AUC 0.5449, Accuracy 0.5533, TPR@5.0% FPR of 0.1100
Min_20.0% Prob   AUC 0.5872, Accuracy 0.5783, TPR@5.0% FPR of 0.1000
Min_30.0% Prob   AUC 0.6111, Accuracy 0.5850, TPR@5.0% FPR of 0.1033
Min_40.0% Prob   AUC 0.6319, Accuracy 0.6117, TPR@5.0% FPR of 0.0867
Min_50.0% Prob   AUC 0.6479, Accuracy 0.6317, TPR@5.0% FPR of 0.0767
Min_60.0% Prob   AUC 0.6575, Accuracy 0.6383, TPR@5.0% FPR of 0.0667
Min_70.0% Prob   AUC 0.6642, Accuracy 0.6417, TPR@5.0% FPR of 0.0700
