aug_kl   AUC 0.5113, Accuracy 0.5350, TPR@0.1% FPR of 0.0000
ppl   AUC 0.6630, Accuracy 0.6283, TPR@0.1% FPR of 0.0033
Min_0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@0.1% FPR of 0.0033
Min_5.0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@0.1% FPR of 0.0033
Min_10.0% Prob   AUC 0.6688, Accuracy 0.6467, TPR@0.1% FPR of 0.0067
Min_20.0% Prob   AUC 0.6710, Accuracy 0.6450, TPR@0.1% FPR of 0.0100
Min_30.0% Prob   AUC 0.6616, Accuracy 0.6433, TPR@0.1% FPR of 0.0033
Min_40.0% Prob   AUC 0.6567, Accuracy 0.6267, TPR@0.1% FPR of 0.0067
Min_50.0% Prob   AUC 0.6565, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Min_60.0% Prob   AUC 0.6596, Accuracy 0.6217, TPR@0.1% FPR of 0.0033
Min_70.0% Prob   AUC 0.6603, Accuracy 0.6267, TPR@0.1% FPR of 0.0033
Min_80.0% Prob   AUC 0.6625, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Min_90.0% Prob   AUC 0.6636, Accuracy 0.6267, TPR@0.1% FPR of 0.0067
Modified_entropy   AUC 0.6554, Accuracy 0.6183, TPR@0.1% FPR of 0.0033
Modified_renyi_05   AUC 0.6471, Accuracy 0.6117, TPR@0.1% FPR of 0.0033
Modified_renyi_2   AUC 0.6410, Accuracy 0.6100, TPR@0.1% FPR of 0.0033
Max_Prob_Gap   AUC 0.6429, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Max_0% renyi_05   AUC 0.6882, Accuracy 0.6550, TPR@0.1% FPR of 0.0033
Max_0% renyi_1   AUC 0.6848, Accuracy 0.6417, TPR@0.1% FPR of 0.0033
Max_0% renyi_2   AUC 0.6690, Accuracy 0.6467, TPR@0.1% FPR of 0.0033
Max_0% renyi_inf   AUC 0.6459, Accuracy 0.6117, TPR@0.1% FPR of 0.0033
Max_5.0% renyi_05   AUC 0.6882, Accuracy 0.6550, TPR@0.1% FPR of 0.0033
Max_5.0% renyi_1   AUC 0.6848, Accuracy 0.6417, TPR@0.1% FPR of 0.0033
Max_5.0% renyi_2   AUC 0.6690, Accuracy 0.6467, TPR@0.1% FPR of 0.0033
Max_5.0% renyi_inf   AUC 0.6459, Accuracy 0.6117, TPR@0.1% FPR of 0.0033
Max_10.0% renyi_05   AUC 0.6923, Accuracy 0.6583, TPR@0.1% FPR of 0.0033
Max_10.0% renyi_1   AUC 0.6991, Accuracy 0.6600, TPR@0.1% FPR of 0.0033
Max_10.0% renyi_2   AUC 0.6853, Accuracy 0.6550, TPR@0.1% FPR of 0.0067
Max_10.0% renyi_inf   AUC 0.6688, Accuracy 0.6467, TPR@0.1% FPR of 0.0067
Max_20.0% renyi_05   AUC 0.6985, Accuracy 0.6717, TPR@0.1% FPR of 0.0000
Max_20.0% renyi_1   AUC 0.7005, Accuracy 0.6750, TPR@0.1% FPR of 0.0033
Max_20.0% renyi_2   AUC 0.6874, Accuracy 0.6600, TPR@0.1% FPR of 0.0133
Max_20.0% renyi_inf   AUC 0.6710, Accuracy 0.6450, TPR@0.1% FPR of 0.0100
Max_30.0% renyi_05   AUC 0.7056, Accuracy 0.6700, TPR@0.1% FPR of 0.0033
Max_30.0% renyi_1   AUC 0.7027, Accuracy 0.6733, TPR@0.1% FPR of 0.0133
Max_30.0% renyi_2   AUC 0.6846, Accuracy 0.6500, TPR@0.1% FPR of 0.0100
Max_30.0% renyi_inf   AUC 0.6616, Accuracy 0.6433, TPR@0.1% FPR of 0.0033
Max_40.0% renyi_05   AUC 0.7115, Accuracy 0.6683, TPR@0.1% FPR of 0.0100
Max_40.0% renyi_1   AUC 0.7027, Accuracy 0.6650, TPR@0.1% FPR of 0.0100
Max_40.0% renyi_2   AUC 0.6806, Accuracy 0.6400, TPR@0.1% FPR of 0.0133
Max_40.0% renyi_inf   AUC 0.6567, Accuracy 0.6267, TPR@0.1% FPR of 0.0067
Max_50.0% renyi_05   AUC 0.7127, Accuracy 0.6650, TPR@0.1% FPR of 0.0233
Max_50.0% renyi_1   AUC 0.7054, Accuracy 0.6583, TPR@0.1% FPR of 0.0200
Max_50.0% renyi_2   AUC 0.6797, Accuracy 0.6383, TPR@0.1% FPR of 0.0067
Max_50.0% renyi_inf   AUC 0.6565, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Max_60.0% renyi_05   AUC 0.7119, Accuracy 0.6567, TPR@0.1% FPR of 0.0333
Max_60.0% renyi_1   AUC 0.7045, Accuracy 0.6617, TPR@0.1% FPR of 0.0133
Max_60.0% renyi_2   AUC 0.6795, Accuracy 0.6350, TPR@0.1% FPR of 0.0100
Max_60.0% renyi_inf   AUC 0.6596, Accuracy 0.6217, TPR@0.1% FPR of 0.0033
Max_70.0% renyi_05   AUC 0.7126, Accuracy 0.6583, TPR@0.1% FPR of 0.0367
Max_70.0% renyi_1   AUC 0.7021, Accuracy 0.6583, TPR@0.1% FPR of 0.0133
Max_70.0% renyi_2   AUC 0.6790, Accuracy 0.6367, TPR@0.1% FPR of 0.0100
Max_70.0% renyi_inf   AUC 0.6603, Accuracy 0.6267, TPR@0.1% FPR of 0.0033
Max_80.0% renyi_05   AUC 0.7127, Accuracy 0.6617, TPR@0.1% FPR of 0.0467
Max_80.0% renyi_1   AUC 0.7014, Accuracy 0.6533, TPR@0.1% FPR of 0.0200
Max_80.0% renyi_2   AUC 0.6796, Accuracy 0.6367, TPR@0.1% FPR of 0.0100
Max_80.0% renyi_inf   AUC 0.6626, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Max_90.0% renyi_05   AUC 0.7136, Accuracy 0.6650, TPR@0.1% FPR of 0.0333
Max_90.0% renyi_1   AUC 0.7004, Accuracy 0.6583, TPR@0.1% FPR of 0.0200
Max_90.0% renyi_2   AUC 0.6795, Accuracy 0.6383, TPR@0.1% FPR of 0.0100
Max_90.0% renyi_inf   AUC 0.6636, Accuracy 0.6267, TPR@0.1% FPR of 0.0067
Max_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@0.1% FPR of 0.0300
Max_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@0.1% FPR of 0.0200
