aug_kl   AUC 0.5271, Accuracy 0.5433, TPR@0.1% FPR of 0.0000
ppl   AUC 0.5558, Accuracy 0.5467, TPR@0.1% FPR of 0.0000
Min_0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_5.0% Prob   AUC 0.3743, Accuracy 0.5067, TPR@0.1% FPR of 0.0000
Min_10.0% Prob   AUC 0.3896, Accuracy 0.5033, TPR@0.1% FPR of 0.0000
Min_20.0% Prob   AUC 0.3704, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_30.0% Prob   AUC 0.4282, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_40.0% Prob   AUC 0.4709, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_50.0% Prob   AUC 0.4958, Accuracy 0.5150, TPR@0.1% FPR of 0.0000
Min_60.0% Prob   AUC 0.5188, Accuracy 0.5250, TPR@0.1% FPR of 0.0000
Min_70.0% Prob   AUC 0.5413, Accuracy 0.5417, TPR@0.1% FPR of 0.0000
Min_80.0% Prob   AUC 0.5516, Accuracy 0.5467, TPR@0.1% FPR of 0.0000
Min_90.0% Prob   AUC 0.5555, Accuracy 0.5467, TPR@0.1% FPR of 0.0000
Modified_entropy   AUC 0.4996, Accuracy 0.5167, TPR@0.1% FPR of 0.0000
Modified_renyi_05   AUC 0.6094, Accuracy 0.5833, TPR@0.1% FPR of 0.0067
Modified_renyi_2   AUC 0.6061, Accuracy 0.5867, TPR@0.1% FPR of 0.0067
Max_Prob_Gap   AUC 0.6439, Accuracy 0.6233, TPR@0.1% FPR of 0.0067
Max_0% renyi_05   AUC 0.6895, Accuracy 0.6617, TPR@0.1% FPR of 0.0267
Max_0% renyi_1   AUC 0.7239, Accuracy 0.6983, TPR@0.1% FPR of 0.0100
Max_0% renyi_2   AUC 0.7026, Accuracy 0.6733, TPR@0.1% FPR of 0.0033
Max_0% renyi_inf   AUC 0.6697, Accuracy 0.6367, TPR@0.1% FPR of 0.0033
Max_5.0% renyi_05   AUC 0.6938, Accuracy 0.6650, TPR@0.1% FPR of 0.0533
Max_5.0% renyi_1   AUC 0.7426, Accuracy 0.7100, TPR@0.1% FPR of 0.0133
