aug_kl   AUC 0.5338, Accuracy 0.5483, TPR@5.0% FPR of 0.0500
ppl   AUC 0.3780, Accuracy 0.5017, TPR@5.0% FPR of 0.0067
Min_0% Kl_Div   AUC 0.5156, Accuracy 0.5317, TPR@5.0% FPR of 0.0400
Min_5.0% Kl_Div   AUC 0.5156, Accuracy 0.5317, TPR@5.0% FPR of 0.0400
Min_10.0% Kl_Div   AUC 0.5156, Accuracy 0.5317, TPR@5.0% FPR of 0.0400
Min_20.0% Kl_Div   AUC 0.4979, Accuracy 0.5217, TPR@5.0% FPR of 0.0367
Min_30.0% Kl_Div   AUC 0.5327, Accuracy 0.5433, TPR@5.0% FPR of 0.0500
Min_40.0% Kl_Div   AUC 0.5282, Accuracy 0.5333, TPR@5.0% FPR of 0.0433
Min_50.0% Kl_Div   AUC 0.5411, Accuracy 0.5483, TPR@5.0% FPR of 0.0433
Min_60.0% Kl_Div   AUC 0.5633, Accuracy 0.5633, TPR@5.0% FPR of 0.0500
Min_70.0% Kl_Div   AUC 0.5674, Accuracy 0.5750, TPR@5.0% FPR of 0.0667
Min_80.0% Kl_Div   AUC 0.5581, Accuracy 0.5717, TPR@5.0% FPR of 0.0600
Min_90.0% Kl_Div   AUC 0.5291, Accuracy 0.5450, TPR@5.0% FPR of 0.0600
Min_0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@5.0% FPR of 0.0233
Min_5.0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@5.0% FPR of 0.0233
Min_10.0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@5.0% FPR of 0.0233
Min_20.0% Prob   AUC 0.3743, Accuracy 0.5067, TPR@5.0% FPR of 0.0067
Min_30.0% Prob   AUC 0.3896, Accuracy 0.5033, TPR@5.0% FPR of 0.0133
Min_40.0% Prob   AUC 0.3937, Accuracy 0.5033, TPR@5.0% FPR of 0.0067
Min_50.0% Prob   AUC 0.3762, Accuracy 0.5017, TPR@5.0% FPR of 0.0067
Min_60.0% Prob   AUC 0.3650, Accuracy 0.5050, TPR@5.0% FPR of 0.0033
Min_70.0% Prob   AUC 0.3704, Accuracy 0.5017, TPR@5.0% FPR of 0.0033
Min_80.0% Prob   AUC 0.3797, Accuracy 0.5017, TPR@5.0% FPR of 0.0067
Min_90.0% Prob   AUC 0.3780, Accuracy 0.5017, TPR@5.0% FPR of 0.0067
Modified_entropy   AUC 0.3587, Accuracy 0.5000, TPR@5.0% FPR of 0.0100
Modified_renyi_05   AUC 0.3673, Accuracy 0.5000, TPR@5.0% FPR of 0.0033
Modified_renyi_2   AUC 0.3695, Accuracy 0.5000, TPR@5.0% FPR of 0.0033
Max_Prob_Gap   AUC 0.5966, Accuracy 0.5800, TPR@5.0% FPR of 0.0767
