For Example 3, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0012, 0.0045, 0.0002, 0.0259, 0.0478, 0.0493, 0.0100, 0.0173, 0.0464, 0.0255, 0.0000, 0.0088, 0.1399, 0.1529, 0.0000, 0.0102, 0.0753, 0.1396, 0.0457, 0.0001, 0.0040, 0.0027, 0.0097, 0.0041, 0.0002, 0.0528, 0.2196, 0.0069, 0.0253, 0.1364, 0.0592, 0.0144]
For Example 4, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0157, 0.0208, 0.0284, 0.9133, 0.6035, 0.0410, 0.0850, 0.4915, 0.0003, 0.1757, 0.2039, 0.3954, 0.0000, 0.0261, 0.0018, 0.0019, 0.0020, 0.0100, 0.0270, 0.0003, 0.0193, 0.0229, 0.0000, 0.0128, 0.0000, 0.0246, 0.0010, 0.0006, 0.0000, 0.0022, 0.0011, 0.0025]
For Example 5, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0028, 0.0596, 0.0254, 0.2930, 0.1522, 0.0002, 0.0857, 0.0001, 0.0814, 0.0651, 0.0000, 0.1901, 0.0403, 0.0000, 0.0205, 0.0415, 0.0556, 0.0660, 0.0147, 0.0081, 0.0007, 0.0153, 0.0000, 0.0046, 0.0010, 0.0022, 0.0360, 0.0128, 0.0040, 0.0024, 0.0265, 0.0005]
For Example 10, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0003, 0.0047, 0.0006, 0.0300, 0.0227, 0.0254, 0.0000, 0.0545, 0.0071, 0.0310, 0.0493, 0.0000, 0.0083, 0.0005, 0.0012, 0.0042, 0.0463, 0.0057, 0.0089, 0.0096, 0.0064, 0.0283, 0.0047, 0.0079, 0.0168, 0.0092, 0.0000, 0.0031, 0.0039, 0.0001, 0.0187, 0.0015]
For Example 11, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0007, 0.0081, 0.0000, 0.0000, 0.0023, 0.0531, 0.0001, 0.0972, 0.0292, 0.0222, 0.0171, 0.0328, 0.2510, 0.0000, 0.0004, 0.0248, 0.1021, 0.0001, 0.0159, 0.0194, 0.0033, 0.0480, 0.0012, 0.0184, 0.0003, 0.0264, 0.0000, 0.0724, 0.0064, 0.0383, 0.0023, 0.0033]
For Example 12, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0008, 0.0135, 0.0152, 0.0665, 0.0702, 0.0033, 0.0000, 0.0208, 0.0443, 0.2042, 0.0629, 0.0202, 0.0094, 0.0097, 0.0032, 0.0088, 0.0034, 0.0216, 0.0222, 0.0076, 0.0211, 0.0000, 0.0343, 0.0203, 0.0130, 0.0004, 0.0000, 0.0124, 0.0246, 0.0005, 0.0199, 0.0000]
For Example 14, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0041, 0.0133, 0.0015, 0.0342, 0.0146, 0.0069, 0.0638, 0.0331, 0.0070, 0.0072, 0.0382, 2.3771, 1.9313, 1.6074, 0.6490, 0.8020, 2.5818, 1.8658, 1.0035, 0.2553, 0.0347, 0.0103, 0.0117, 0.0223, 0.0097, 0.0118, 0.0074, 0.0104, 0.0188, 0.0068, 0.0180, 0.0000]
For Example 15, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0007, 0.0048, 0.0008, 0.0488, 0.0008, 0.0028, 0.0971, 0.0228, 0.0161, 0.0641, 0.0000, 0.0284, 0.0133, 0.0009, 0.0077, 0.0026, 0.0251, 0.0174, 0.0333, 0.0451, 0.0188, 0.0018, 0.0059, 0.0166, 0.0010, 0.0166, 0.0066, 0.0255, 0.0000, 0.0034, 0.0007, 0.0399]
For Example 18, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0003, 0.0082, 0.0251, 0.0851, 0.0001, 0.1215, 0.0194, 0.0238, 0.0284, 0.0274, 0.0284, 0.0033, 0.0626, 0.0191, 0.0003, 0.0005, 0.0000, 0.0024, 0.0091, 0.0379, 0.0239, 0.0494, 0.0000, 0.0569, 0.1283, 0.0012, 0.0625, 0.0016, 0.0062, 0.0050, 0.0025, 0.0002]
For Example 21, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0078, 0.0072, 0.0000, 0.0010, 0.0583, 0.0535, 0.0024, 0.0166, 0.0064, 0.0408, 0.0093, 0.0044, 0.0090, 0.0106, 0.0247, 0.0070, 0.0177, 0.0244, 0.0059, 0.0089, 0.0343, 0.0099, 0.1477, 0.0000, 0.2428, 0.0092, 0.0041, 0.0008, 0.0452, 0.0000, 0.0047, 0.0000]
For Example 22, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0025, 0.0025, 0.0002, 0.0571, 0.0325, 0.0153, 0.0076, 0.0966, 0.1275, 0.1143, 0.1461, 0.9674, 0.2147, 0.0841, 0.0000, 0.0101, 0.0042, 0.0051, 0.0848, 0.0158, 0.0107, 0.0008, 0.0772, 0.0275, 0.0121, 0.4910, 0.0205, 0.0289, 0.0346, 0.0000, 0.0000, 0.0033]
For Example 27, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0013, 0.0307, 0.0093, 0.1795, 0.0221, 0.0419, 0.0678, 0.2039, 0.0053, 0.0382, 0.0251, 0.0077, 0.0194, 0.2918, 0.0056, 0.1753, 0.1371, 0.0056, 0.0066, 0.0439, 0.0018, 0.0175, 0.0683, 0.0000, 0.0061, 0.0014, 0.0277, 0.0030, 0.0123, 0.0018, 0.0433, 0.0331]
For Example 31, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0096, 0.0117, 0.0000, 0.0207, 0.2382, 0.0000, 0.0421, 0.0045, 0.0290, 0.1749, 0.2792, 0.2140, 0.0805, 0.0263, 0.0018, 0.0158, 0.0001, 0.0000, 0.0124, 0.0656, 0.0057, 0.0698, 0.0350, 0.0189, 0.0035, 0.0022, 0.0181, 0.0010, 0.0059, 0.0006, 0.0028, 0.0035]
For Example 32, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0113, 0.0436, 0.0083, 0.2306, 0.1050, 0.1259, 0.0968, 0.0033, 0.0451, 0.0448, 0.1395, 0.0005, 0.2359, 1.9670, 0.5507, 0.0011, 0.0604, 0.9428, 0.4094, 0.0004, 0.0178, 0.0452, 0.0265, 0.0944, 0.0082, 0.2129, 0.0430, 0.0228, 0.0002, 0.0145, 0.0496, 0.0077]
For Example 33, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0054, 0.0217, 0.0000, 0.0000, 0.0401, 0.2570, 0.0249, 0.0376, 0.0353, 0.1104, 0.5552, 0.0000, 0.0418, 0.0139, 0.0353, 0.0012, 0.0015, 0.0004, 0.0422, 0.0369, 0.0218, 0.0931, 0.0000, 0.0305, 0.0242, 0.0079, 0.0037, 0.0049, 0.0014, 0.0006, 0.0114, 0.0045]
For Example 34, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0006, 0.0315, 0.0140, 0.0709, 0.0234, 0.0003, 0.0005, 0.0176, 0.0088, 0.0046, 0.0354, 0.0000, 0.0000, 0.0180, 0.0597, 0.0001, 0.0103, 0.0556, 0.0308, 0.0180, 0.0549, 0.0141, 0.3277, 0.0392, 0.0443, 0.3007, 0.2231, 0.0176, 0.0011, 0.0002, 0.0003, 0.0045]
For Example 36, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0204, 0.0543, 0.0354, 0.4152, 1.0859, 0.0590, 0.0088, 0.2917, 0.0043, 0.0332, 0.0536, 0.0685, 0.1942, 0.0865, 0.0784, 0.3585, 0.0177, 0.0893, 0.0535, 0.0878, 0.0527, 0.2557, 0.0108, 0.0018, 0.0011, 0.0002, 0.0067, 0.0134, 0.0111, 0.0000, 0.0018, 0.0029]
For Example 39, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0038, 0.0171, 0.2778, 0.8289, 0.6931, 0.1836, 0.0215, 0.0278, 0.1785, 0.0161, 0.0589, 0.0301, 0.1485, 0.0000, 0.0266, 0.0117, 0.1824, 0.0440, 0.0068, 0.0524, 0.0000, 0.0179, 0.0001, 0.0063, 0.0806, 0.0042, 0.0423, 0.0475, 0.0101, 0.0070, 0.0044, 0.0138]
For Example 40, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0058, 0.0882, 0.0041, 0.2692, 0.1361, 0.0786, 0.0454, 0.8057, 0.0429, 0.5790, 0.0820, 0.3064, 0.0336, 0.1639, 0.1203, 0.1551, 0.0170, 0.0210, 0.0000, 0.0021, 0.0329, 0.0633, 0.0093, 0.0466, 0.0000, 0.0359, 0.2750, 0.0509, 0.0000, 0.0077, 0.0431, 0.0026]
For Example 41, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0011, 0.0040, 0.0000, 0.0000, 0.0270, 0.0382, 0.0001, 0.1390, 0.0412, 0.0085, 0.0020, 0.1267, 0.0000, 0.0007, 0.0237, 0.2053, 0.0044, 0.2011, 0.0834, 0.0146, 0.0949, 0.0044, 0.0521, 0.0014, 0.0967, 0.0027, 0.0075, 0.0042, 0.0082, 0.0010, 0.0107, 0.0252]
For Example 46, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0018, 0.0323, 0.0038, 0.2003, 0.0003, 0.0000, 0.0038, 0.0139, 0.2912, 0.0003, 0.0554, 0.0659, 0.3504, 1.1107, 0.1400, 0.0175, 0.0818, 0.0000, 0.1222, 0.0418, 0.0092, 0.0096, 0.0352, 0.0244, 0.0900, 0.0613, 0.1429, 0.0000, 0.0016, 0.0230, 0.0483, 0.1498]
