For Example 3, The full renyi 0.5 token for inst_desp method is: [5.5329, 3.6075, 5.5295, 4.1826, 6.0869, 4.7755, 1.7711, 0.7218, 4.6742, 4.7327, 5.1447, 6.2611, 7.6400, 3.5673, 2.1915, 1.7127, 2.7521, 1.4627, 4.6536, 3.3403, 3.2489, 2.1800, 4.1920, 3.6513, 4.9363, 0.7265, 3.5663, 5.5223, 4.7625, 0.6647, 2.7307, 5.4266, 5.3922, 3.7276, 0.7787, 2.3474, 2.2124, 3.1252, 3.4751, 1.4441, 5.7355, 6.0581, 3.5926, 4.9875, 5.7963, 5.1285]
For Example 4, The full renyi 0.5 token for inst_desp method is: [5.7066, 3.1233, 5.0733, 4.2028, 6.1828, 4.9717, 1.8465, 0.7567, 4.5664, 4.6981, 6.3287, 6.6277, 8.5039, 3.9911, 2.0814, 2.1510, 3.3383, 3.0605, 5.8470, 5.1070, 4.1599, 4.0982, 5.8397, 0.8129, 4.3324, 3.6018, 5.5859, 0.8155, 3.8759, 2.4356, 1.8830, 1.4937, 2.7795, 4.4271, 0.6459, 3.3930, 4.8427, 0.6292, 3.6497, 0.7993, 2.6954, 2.1601, 1.6221, 0.6736, 1.9256, 1.8762]
For Example 5, The full renyi 0.5 token for inst_desp method is: [5.3420, 3.2501, 5.0363, 3.9974, 6.0752, 4.9239, 1.8406, 0.7581, 4.4984, 4.5798, 5.6402, 6.3645, 6.7472, 3.6946, 2.0156, 1.7683, 3.2144, 2.0171, 5.3260, 4.5396, 1.3419, 4.2133, 0.9885, 4.3251, 4.0075, 0.7590, 4.4812, 4.0208, 0.6670, 4.0186, 4.1946, 4.3531, 4.1240, 2.5584, 3.7464, 1.3468, 4.1468, 0.6459, 3.2761, 1.2614, 2.3578, 3.4963, 3.8963, 2.5980, 2.2921, 4.1022]
For Example 10, The full renyi 0.5 token for inst_desp method is: [5.5599, 2.5058, 4.9059, 4.2468, 6.4347, 5.0172, 1.9210, 0.8008, 4.6609, 4.7042, 6.0059, 6.3054, 7.9133, 3.9664, 1.9653, 2.2222, 3.1554, 2.2707, 5.4349, 5.2442, 6.1181, 0.8480, 4.9634, 4.8124, 5.4920, 6.2730, 1.3411, 4.9769, 1.7195, 2.5918, 3.7788, 5.6468, 4.5844, 5.6148, 3.6924, 3.6290, 5.7944, 4.0566, 4.9537, 4.6263, 5.5435, 1.0248, 4.8947, 4.7362, 1.4882, 4.4178]
For Example 11, The full renyi 0.5 token for inst_desp method is: [5.1472, 3.2664, 5.6430, 3.7136, 5.9286, 4.9196, 1.7527, 0.7428, 4.5848, 4.6858, 4.2412, 6.4577, 7.5647, 3.5104, 2.0749, 1.6471, 2.9423, 0.5969, 0.5850, 1.6544, 3.9674, 1.1072, 4.1751, 3.6109, 3.0245, 3.0838, 3.6771, 4.3006, 0.6246, 1.1806, 3.7800, 4.7055, 0.8586, 3.6462, 4.2389, 2.8699, 4.3243, 2.2016, 3.4810, 1.1269, 4.2187, 0.7175, 3.1846, 1.4408, 2.3535, 2.1156]
For Example 12, The full renyi 0.5 token for inst_desp method is: [5.8853, 2.7545, 4.9675, 4.3008, 6.3256, 5.0087, 1.8803, 0.7978, 4.6477, 4.7086, 6.1287, 6.3854, 7.5360, 3.7908, 2.1486, 2.1242, 3.2679, 3.3198, 5.7324, 5.4280, 3.3076, 0.6579, 4.9798, 5.0013, 5.9444, 5.1745, 5.2364, 4.3089, 3.5528, 2.4475, 3.8721, 3.1801, 4.1663, 5.1655, 4.0790, 5.7567, 0.9407, 4.5729, 4.4486, 4.6718, 3.2226, 0.7694, 4.1605, 4.9619, 1.7192, 5.3357]
For Example 14, The full renyi 0.5 token for inst_desp method is: [5.9997, 3.1441, 5.3489, 4.1040, 5.9582, 4.8903, 1.7871, 0.7674, 4.6068, 4.6827, 4.0759, 6.6400, 7.6765, 3.6132, 2.2820, 1.8557, 2.9796, 1.5717, 4.3152, 3.5904, 1.8306, 4.6092, 4.6835, 3.6838, 2.8540, 4.0243, 5.3632, 7.4899, 6.1713, 6.1905, 6.6608, 2.8232, 3.3911, 6.3574, 4.9231, 5.3101, 3.5292, 2.3080, 3.6333, 3.3424, 2.9373, 3.2172, 3.7029, 4.4103, 3.8739, 4.8237]
For Example 15, The full renyi 0.5 token for inst_desp method is: [5.4897, 3.0522, 5.0575, 3.8758, 6.2768, 4.7731, 1.7072, 0.7384, 4.4743, 4.8033, 5.3351, 6.5014, 7.0755, 3.7193, 1.8765, 1.9096, 3.1696, 1.7513, 4.6689, 1.0346, 2.6692, 3.5943, 4.1602, 4.6257, 5.8418, 1.2025, 5.3705, 4.9875, 2.7623, 3.5775, 3.0213, 4.5072, 4.9650, 4.4564, 6.2037, 3.0730, 2.6018, 4.3299, 4.8121, 2.6518, 5.6213, 5.2321, 4.6800, 0.6316, 3.8944, 2.3461]
For Example 18, The full renyi 0.5 token for inst_desp method is: [4.8552, 3.3176, 5.5165, 3.9346, 5.9045, 4.9145, 1.7203, 0.7144, 4.6177, 4.6967, 4.6144, 6.2316, 6.6922, 3.4066, 2.2767, 1.6563, 3.0261, 1.8588, 3.8628, 1.0125, 4.1027, 3.7376, 3.0291, 3.9535, 4.6068, 3.3483, 1.9564, 3.7536, 2.8537, 1.3159, 2.0957, 0.5738, 2.4651, 3.6616, 4.4098, 4.1946, 4.4938, 0.6073, 2.5930, 4.3406, 2.4077, 4.5923, 2.2253, 4.6246, 3.9847, 3.1148]
For Example 21, The full renyi 0.5 token for inst_desp method is: [5.6664, 2.7282, 5.0692, 3.7798, 6.0583, 4.7462, 1.8449, 0.7821, 4.5052, 4.6532, 5.6506, 6.0748, 7.5072, 3.5871, 2.0376, 2.4469, 3.1750, 0.6036, 1.5271, 4.2272, 4.3775, 2.2243, 4.0209, 2.8032, 3.6001, 3.2970, 3.6679, 3.4883, 4.7451, 5.4551, 4.3640, 3.5264, 4.1472, 3.7653, 3.0227, 5.3079, 4.5383, 5.2106, 0.8843, 5.2709, 3.5419, 4.1362, 2.0891, 4.6386, 0.7164, 3.3716]
