For Example 0, The full renyi 0.5 token for desp method is: [0.0015, 0.0131, 0.0280, 0.5095, 0.2838, 0.1721, 0.0000, 0.0475, 0.0501, 0.0578, 0.6328, 0.2335, 0.0737, 1.0444, 0.0356, 0.0068, 0.0214, 0.0000, 0.0069, 0.0602, 0.0000, 0.0271, 0.0077, 0.0143, 0.0020, 0.0002, 0.0483, 0.0041, 0.0179, 0.0000, 0.1540, 0.0119]
For Example 1, The full renyi 0.5 token for desp method is: [0.0016, 0.0635, 0.0000, 0.0038, 0.3396, 0.1104, 0.3451, 0.1470, 1.3806, 0.6316, 1.2302, 0.5208, 0.5558, 0.7825, 0.0000, 0.1936, 0.0341, 0.0121, 0.0006, 0.0689, 0.3579, 0.0222, 0.3756, 0.1207, 0.1997, 0.1012, 0.0172, 0.0173, 0.1866, 0.0000, 0.1663, 0.5463]
For Example 2, The full renyi 0.5 token for desp method is: [0.0116, 0.0465, 0.0226, 1.0111, 0.0786, 0.0216, 0.1787, 0.8716, 1.0041, 0.3188, 0.0469, 0.0975, 0.3129, 0.0241, 0.1122, 0.0001, 0.9357, 0.0782, 0.0689, 0.0469, 0.0346, 0.0158, 0.0270, 0.2811, 0.0014, 0.0092, 0.0130, 0.0059, 0.0288, 0.0214, 0.0366, 0.0405]
For Example 3, The full renyi 0.5 token for desp method is: [0.0005, 0.0084, 0.0000, 0.0000, 0.0515, 0.0755, 0.0001, 0.2423, 0.0943, 0.0193, 0.0153, 0.2419, 0.0114, 0.1214, 0.0739, 0.3818, 0.0228, 0.0076, 0.0870, 0.2321, 0.0029, 0.0062, 0.0300, 0.0003, 0.1389, 0.0309, 0.0231, 0.0054, 0.0094, 0.0024, 0.0281, 0.0073]
For Example 4, The full renyi 0.5 token for desp method is: [0.0033, 0.0182, 0.0096, 0.1226, 0.0485, 0.0000, 0.0023, 0.0082, 0.0078, 0.0211, 0.0127, 0.0508, 0.0179, 0.0181, 0.0207, 0.1102, 0.0542, 0.0062, 0.0007, 0.0006, 0.0010, 0.0146, 0.0085, 0.0088, 0.0303, 0.0000, 0.0092, 0.0018, 0.0022, 0.0003, 0.0014, 0.0085]
For Example 5, The full renyi 0.5 token for desp method is: [0.0031, 0.0163, 0.0371, 0.2621, 0.1499, 0.0466, 0.0162, 0.0064, 0.0076, 0.0438, 0.0006, 0.0100, 0.0121, 0.1456, 0.0575, 0.1477, 0.2441, 0.0001, 0.0488, 0.0158, 0.0183, 0.0168, 0.1168, 0.0234, 0.0257, 0.0393, 0.0061, 0.2668, 0.0009, 0.0091, 0.0447, 0.0009]
For Example 6, The full renyi 0.5 token for desp method is: [0.0018, 0.0041, 0.0059, 0.6334, 0.0623, 0.0255, 0.0002, 0.0000, 0.1586, 0.0040, 0.0261, 0.0421, 0.0110, 0.1899, 0.0802, 0.0001, 0.0593, 0.0084, 0.0258, 0.0251, 0.0000, 0.0054, 0.0883, 0.0266, 0.0315, 0.3488, 0.0197, 0.0147, 0.0290, 0.0053, 0.0037, 0.0015]
For Example 7, The full renyi 0.5 token for desp method is: [0.0013, 0.0143, 0.2619, 0.3072, 0.0057, 0.0002, 0.4938, 0.0446, 0.0129, 0.1144, 0.0302, 0.2801, 0.2655, 0.0350, 0.2345, 0.0142, 0.0049, 0.0185, 0.0129, 0.3177, 0.0627, 0.0001, 0.0291, 0.0983, 0.1108, 0.0000, 0.0004, 0.0189, 0.0898, 0.0076, 0.0475, 0.0117]
For Example 8, The full renyi 0.5 token for desp method is: [0.0005, 0.0131, 0.0000, 0.0000, 0.1790, 0.2358, 0.1037, 0.0183, 0.0702, 1.4150, 0.0583, 0.0000, 0.0352, 0.0122, 0.0378, 0.0014, 0.0357, 0.0249, 0.2089, 0.0012, 0.7639, 0.0194, 0.0128, 0.0058, 0.0065, 0.0032, 0.0779, 0.1108, 0.0324, 0.0462, 0.0222, 0.0176]
For Example 9, The full renyi 0.5 token for desp method is: [0.0025, 0.0167, 0.0732, 0.0811, 0.0003, 0.0000, 0.0053, 0.1255, 0.2294, 0.0062, 0.0666, 0.0300, 0.1958, 0.0956, 0.0007, 0.0259, 0.0739, 0.0415, 0.1776, 0.0002, 0.0011, 0.0000, 0.0000, 0.0265, 0.0456, 0.0260, 0.0279, 0.2223, 0.0371, 0.4964, 0.0758, 0.0107]
