aug_kl   AUC 0.5039, Accuracy 0.5267, TPR@5.0% FPR of 0.0633
ppl   AUC 0.6630, Accuracy 0.6283, TPR@5.0% FPR of 0.1333
Min_0% Kl_Div   AUC 0.4059, Accuracy 0.5033, TPR@5.0% FPR of 0.0333
Min_5.0% Kl_Div   AUC 0.4059, Accuracy 0.5033, TPR@5.0% FPR of 0.0333
Min_10.0% Kl_Div   AUC 0.4155, Accuracy 0.5083, TPR@5.0% FPR of 0.0400
Min_20.0% Kl_Div   AUC 0.4096, Accuracy 0.5150, TPR@5.0% FPR of 0.0467
Min_30.0% Kl_Div   AUC 0.4243, Accuracy 0.5133, TPR@5.0% FPR of 0.0633
Min_40.0% Kl_Div   AUC 0.4383, Accuracy 0.5117, TPR@5.0% FPR of 0.0700
Min_50.0% Kl_Div   AUC 0.4552, Accuracy 0.5083, TPR@5.0% FPR of 0.0367
Min_60.0% Kl_Div   AUC 0.4601, Accuracy 0.5083, TPR@5.0% FPR of 0.0300
Min_70.0% Kl_Div   AUC 0.4618, Accuracy 0.5067, TPR@5.0% FPR of 0.0267
Min_80.0% Kl_Div   AUC 0.4585, Accuracy 0.5150, TPR@5.0% FPR of 0.0333
Min_90.0% Kl_Div   AUC 0.4637, Accuracy 0.5133, TPR@5.0% FPR of 0.0400
Min_0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@5.0% FPR of 0.0867
Min_5.0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@5.0% FPR of 0.0867
Min_10.0% Prob   AUC 0.6688, Accuracy 0.6467, TPR@5.0% FPR of 0.0833
Min_20.0% Prob   AUC 0.6710, Accuracy 0.6450, TPR@5.0% FPR of 0.1267
Min_30.0% Prob   AUC 0.6616, Accuracy 0.6433, TPR@5.0% FPR of 0.1367
Min_40.0% Prob   AUC 0.6567, Accuracy 0.6267, TPR@5.0% FPR of 0.1300
Min_50.0% Prob   AUC 0.6565, Accuracy 0.6217, TPR@5.0% FPR of 0.1167
Min_60.0% Prob   AUC 0.6596, Accuracy 0.6217, TPR@5.0% FPR of 0.1233
Min_70.0% Prob   AUC 0.6603, Accuracy 0.6267, TPR@5.0% FPR of 0.1233
Min_80.0% Prob   AUC 0.6625, Accuracy 0.6217, TPR@5.0% FPR of 0.1333
Min_90.0% Prob   AUC 0.6636, Accuracy 0.6267, TPR@5.0% FPR of 0.1333
