For Example 0, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0019, 0.0065, 0.0041, 0.2611, 0.0816, 0.0347, 0.1065, 0.4139, 0.0786, 0.1115, 0.0220, 0.0114, 0.0121, 0.0074, 0.0676, 0.0173, 0.0090, 0.0047, 0.0189, 0.0079, 0.0097, 0.0086, 0.0100, 0.0085, 0.0003, 0.0731, 0.0000, 0.0073, 0.0449, 0.0152, 0.0216, 0.0681]
For Example 1, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0020, 0.0148, 0.0058, 0.4310, 0.0001, 0.0096, 0.0702, 0.0751, 1.0160, 0.0001, 0.3822, 0.0521, 0.0414, 0.2136, 1.9174, 0.5567, 0.0156, 0.1067, 0.1181, 0.1513, 0.0000, 0.0070, 0.0150, 0.0235, 0.0307, 0.0380, 0.5569, 0.0000, 0.0020, 0.0197, 0.0301, 0.0053]
For Example 2, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0027, 0.0191, 0.2672, 0.2343, 0.0823, 0.4222, 0.2712, 0.0602, 0.3889, 0.4113, 1.0686, 0.0344, 0.1480, 0.0214, 0.0174, 0.0464, 0.0118, 0.0760, 0.0001, 0.0089, 0.0311, 0.0131, 0.0032, 0.2235, 0.0308, 0.0107, 0.0000, 0.0022, 0.0095, 0.0016, 0.0262, 0.0000]
For Example 3, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0011, 0.0266, 0.0000, 0.0000, 0.0945, 0.0743, 0.0001, 0.2034, 0.0435, 0.0481, 0.0161, 0.2407, 0.0397, 0.0403, 0.0001, 0.0108, 0.0355, 0.0075, 0.0229, 0.0020, 0.0899, 0.0010, 0.3311, 0.0000, 0.3968, 0.0010, 0.0026, 0.0004, 0.0122, 0.0006, 0.0126, 0.0541]
For Example 4, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0017, 0.0069, 0.0000, 0.0004, 0.0206, 0.0221, 0.0026, 0.0119, 0.0309, 0.0222, 0.0192, 0.0070, 0.0356, 0.0146, 0.0204, 0.0150, 0.0483, 0.2573, 0.0336, 0.0411, 0.0043, 0.0000, 0.0263, 0.0060, 0.0768, 0.0117, 0.1215, 0.0000, 0.9638, 0.0168, 0.0116, 0.0004]
For Example 5, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0014, 0.0155, 0.0028, 0.4733, 0.0006, 0.0000, 0.0044, 0.0001, 0.0333, 0.2797, 0.0002, 0.1542, 0.0001, 0.0231, 0.0110, 0.2945, 0.0000, 0.0164, 0.0001, 0.4596, 0.5097, 0.0018, 0.5712, 0.0096, 0.0000, 0.0047, 0.4530, 0.0081, 0.0051, 0.0497, 0.0641, 0.0000]
For Example 6, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0019, 0.0528, 0.0015, 0.1314, 0.0024, 0.0136, 0.1532, 0.0340, 0.0437, 0.2298, 0.0000, 0.1037, 0.0389, 0.0049, 0.0240, 0.0075, 0.0521, 0.0585, 0.0762, 0.1705, 0.1086, 0.0093, 0.0152, 0.0310, 0.0024, 0.0458, 0.0188, 0.0516, 0.0000, 0.0139, 0.0017, 0.0592]
For Example 7, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0011, 0.0022, 0.0967, 0.1747, 0.0197, 0.0001, 0.0036, 0.0048, 0.0287, 0.0015, 0.0183, 0.0635, 0.0000, 0.2248, 0.0684, 0.4701, 0.0002, 0.0035, 0.1040, 0.0039, 0.0054, 0.0406, 0.0000, 0.0079, 0.0021, 0.0086, 0.0005, 0.0002, 0.0024, 0.0026, 0.0121, 0.0183]
For Example 8, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0021, 0.0429, 0.0138, 0.0417, 0.0636, 0.0541, 0.0847, 0.2249, 0.0232, 0.1584, 0.0000, 0.3023, 0.0572, 0.0184, 0.5069, 0.0098, 0.0052, 0.0073, 0.1290, 0.0000, 0.0470, 0.2389, 0.0270, 0.0048, 0.0021, 0.0670, 0.2413, 0.0000, 0.0780, 0.0303, 0.1399, 0.0000]
For Example 9, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0036, 0.0195, 0.0048, 0.4180, 0.0994, 0.0164, 0.0240, 0.4676, 0.0836, 0.8288, 0.0396, 0.0681, 0.0000, 0.0293, 0.0026, 0.0244, 0.0030, 0.0341, 0.0428, 0.0323, 0.0896, 0.0000, 0.0245, 0.0045, 0.0165, 0.0005, 0.0006, 0.0000, 0.0053, 0.0138, 0.0061, 0.0000]
