aug_kl   AUC 0.6218, Accuracy 0.6083, TPR@5.0% FPR of 0.0567
ppl   AUC 0.6680, Accuracy 0.6367, TPR@5.0% FPR of 0.0733
Min_0% Kl_Div   AUC 0.5030, Accuracy 0.5250, TPR@5.0% FPR of 0.0167
Min_5.0% Kl_Div   AUC 0.5202, Accuracy 0.5417, TPR@5.0% FPR of 0.0267
Min_10.0% Kl_Div   AUC 0.5443, Accuracy 0.5583, TPR@5.0% FPR of 0.0233
Min_20.0% Kl_Div   AUC 0.5653, Accuracy 0.5783, TPR@5.0% FPR of 0.0233
Min_30.0% Kl_Div   AUC 0.5768, Accuracy 0.5817, TPR@5.0% FPR of 0.0267
Min_40.0% Kl_Div   AUC 0.5862, Accuracy 0.5867, TPR@5.0% FPR of 0.0467
Min_50.0% Kl_Div   AUC 0.5946, Accuracy 0.5933, TPR@5.0% FPR of 0.0500
Min_60.0% Kl_Div   AUC 0.6018, Accuracy 0.5983, TPR@5.0% FPR of 0.0500
Min_70.0% Kl_Div   AUC 0.6095, Accuracy 0.6067, TPR@5.0% FPR of 0.0533
Min_80.0% Kl_Div   AUC 0.6157, Accuracy 0.6067, TPR@5.0% FPR of 0.0500
Min_90.0% Kl_Div   AUC 0.6189, Accuracy 0.6050, TPR@5.0% FPR of 0.0533
Min_0% Prob   AUC 0.5858, Accuracy 0.5783, TPR@5.0% FPR of 0.0867
Min_5.0% Prob   AUC 0.5888, Accuracy 0.5733, TPR@5.0% FPR of 0.1133
Min_10.0% Prob   AUC 0.5937, Accuracy 0.5750, TPR@5.0% FPR of 0.1167
Min_20.0% Prob   AUC 0.6062, Accuracy 0.5867, TPR@5.0% FPR of 0.0967
Min_30.0% Prob   AUC 0.6205, Accuracy 0.5900, TPR@5.0% FPR of 0.0967
Min_40.0% Prob   AUC 0.6371, Accuracy 0.6133, TPR@5.0% FPR of 0.0933
Min_50.0% Prob   AUC 0.6503, Accuracy 0.6267, TPR@5.0% FPR of 0.0867
Min_60.0% Prob   AUC 0.6595, Accuracy 0.6350, TPR@5.0% FPR of 0.0733
Min_70.0% Prob   AUC 0.6648, Accuracy 0.6383, TPR@5.0% FPR of 0.0733
Min_80.0% Prob   AUC 0.6678, Accuracy 0.6417, TPR@5.0% FPR of 0.0700
Min_90.0% Prob   AUC 0.6685, Accuracy 0.6433, TPR@5.0% FPR of 0.0733
